index,CNN,FN,HOG,LBP
CNN,1.0,0.3346956522410648,0.3346956522410648,0.0007831678826766466
FN,0.3346956522410648,1.0,0.0007831678826766466,0.3346956522410648
HOG,0.3346956522410648,0.0007831678826766466,1.0,5.741609449166259e-08
LBP,0.0007831678826766466,0.3346956522410648,5.741609449166259e-08,1.0
