A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
CNN,FN,0.45792297374976043,0.09653509612313976,0.36138787762662067,0.008259909783150181,43.75203690043136,17.4223159766984,0.0,18.739751969335696
CNN,HOG,0.45792297374976043,0.39988184198760934,0.05804113176215109,0.011087683622662908,5.234739169822331,13.865240361079705,0.0006660619571443593,2.2421290668108185
CNN,LBP,0.45792297374976043,0.4778129058355155,-0.01988993208575507,0.01393810610760924,-1.4270182715065245,11.936144480425462,0.5075360555556041,-0.6112165366060655
FN,HOG,0.09653509612313976,0.39988184198760934,-0.3033467458644696,0.01163444008286894,-26.073171008128757,15.472346784132396,1.815214645262131e-13,-11.167588810970084
FN,LBP,0.09653509612313976,0.4778129058355155,-0.38127780971237574,0.014376865784745093,-26.520231559575343,13.120767684163736,4.764855177086247e-12,-11.359072555337214
HOG,LBP,0.39988184198760934,0.4778129058355155,-0.07793106384790616,0.016168020543129616,-4.820074519327719,16.752484719021382,0.0008678015206956546,-2.064521045533901
