FAR,FRR,Precision,Recall,Time,Params
0.4755700325732899,0.3944099378881988,0.5718475073313783,0.6055900621118012,41.416111166669,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}"
0.47058823529411764,0.43788819875776397,0.556923076923077,0.562111801242236,40.513215266665306,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.45751633986928103,0.40372670807453415,0.5783132530120482,0.5962732919254659,40.59878596666628,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}"
0.46254071661237783,0.43302180685358255,0.5617283950617284,0.5669781931464174,40.626976799998374,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.46579804560260585,0.4423676012461059,0.5559006211180124,0.557632398753894,40.572042466670005,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}"
0.44299674267100975,0.4472049689440994,0.5668789808917197,0.5527950310559007,40.595867833333614,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}"
0.4738562091503268,0.39751552795031053,0.5722713864306784,0.6024844720496895,40.313343466671846,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}"
0.4215686274509804,0.453416149068323,0.5770491803278689,0.546583850931677,40.54155663333464,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.46254071661237783,0.37383177570093457,0.5860058309037901,0.6261682242990654,40.42071989999871,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.44625407166123776,0.4423676012461059,0.5664556962025317,0.557632398753894,40.445130699993264,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
