index,CNN,FN,HOG,LBP
CNN,1.0,1.312129490691348e-05,0.04969802389940405,1.0
FN,1.312129490691348e-05,1.0,0.2170103912350379,1.998934667460903e-05
HOG,0.04969802389940405,0.2170103912350379,1.0,0.06385675623108536
LBP,1.0,1.998934667460903e-05,0.06385675623108536,1.0
