FAR,FRR,Precision,Recall,Time,Params
0.10423452768729642,0.09627329192546584,0.9009287925696594,0.9037267080745341,27.865697233336203,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.08496732026143791,0.07142857142857142,0.92,0.9285714285714286,27.915588866667047,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.0915032679738562,0.06521739130434782,0.9148936170212766,0.9347826086956522,27.83776516667179,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.06840390879478828,0.1059190031152648,0.9318181818181818,0.8940809968847352,27.999899966671364,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.11726384364820847,0.102803738317757,0.8888888888888888,0.897196261682243,27.886840466667007,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.11726384364820847,0.10248447204968944,0.8892307692307693,0.8975155279503105,27.59655503333003,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.06535947712418301,0.09006211180124224,0.9361022364217252,0.9099378881987578,28.263845166666822,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.12091503267973856,0.09316770186335403,0.8875379939209727,0.906832298136646,28.622251899995415,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.10749185667752444,0.09345794392523364,0.8981481481481481,0.9065420560747663,28.352053833339596,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
0.08794788273615635,0.1059190031152648,0.9140127388535032,0.8940809968847352,28.004440300001686,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}"
